word,frequency
влияние,17
своему,17
спорта,17
кино,17
вышла,17
сериала,17
"сибири,",17
существует,17
современных,17
замуж,17
названием,17
пути,17
"области,",17
"племён,",17
29,17
работала,17
исследователи,17
вид,17
другим,17
поэтому,17
(род.,17
западе,17
известен,17
брата,17
уйгурский,17
источники,17
50,17
бильге,17
сезен,17
орду,17
великого,17
чел.;,17
используется,17
"частности,",17
тюркские,17
своим,17
национальный,17
г,17
"тем,",17
таким,17
занял,17
года),17
всей,17
великой,17
совета,16
русские,16
1997,16
стамбул),16
столицей,16
представители,16
хазар,16
татар,16
европейских,16
института,16
преимущественно,16
орды.,16
окончил,16
почти,16
которым,16
.,16
о.,16
университета,16
киргизов,16
газета,16
русской,16
"азии,",16
школы,16
з,16
третий,16
очень,16
рождения,16
алтай,16
российская,16
казахского,16
организации,16
xviii,16
национальной,16
ее,16
тюрков,16
"века,",16
ветви,16
другими,16
борьбе,16
потомками,16
век,16
борьбы,16
енисейские,16
административный,16
распада,16
оон,16
такие,16
имел,16
начиная,16
предположительно,16
личное,16
крупных,16
монголии,16
др.,16
1950,15
иногда,15
словарь,15
позднее,15
татарского,15
2018,15
президента,15
булгар,15
"то,",15
v,15
кочевых,15
1988,15
большая,15
эту,15
равен,15
города.,15
старший,15
международный,15
помимо,15
империя,15
русским,15
сайте,15
мусульманской,15
числа,15
главы,15
помощью,15
(каз.,15
манаса,15
ред.,15
е,15
туркмены,15
жены,15
мухаммед,15
21,15
которому,15
долине,15
мировой,15
40,15
которое,15
вплоть,15
"турции,",15
представителей,15
1994,15
география,15
династия,15
л,15
годах.,15
телеуты,15
1993,15
фахрие,15
a,15
оно,15
стороны,15
200,15
основу,15
1989,15
великая,15
сайт,15
членом,15
наук,15
школе,14
махмуд,14
разных,14
murat,14
мавзолей,14
т,14
языков.,14
русского,14
исторический,14
племенем,14
р,14
"народ,",14
состоит,14
сестра,14
золотая,14
собственно,14
середине,14
спустя,14
китайской,14
восточная,14
первая,14
делится,14
>,14
севере,14
расселения,14
тохтамыша,14
император,14
российский,14
веков,14
река,14
снялась,14
ханы,14
рф,14
институт,14
живут,14
множество,14
вступил,14
болгарии,14
(или,14
флаг,14
байулы,14
находилась,14
место.,14
месте,14
жили,14
народной,14
категории,14
вдоль,14
четыре,14
групп,14
первенстве,14
