metric,type,mean,std,min,max,median
char_len,Yakut,106.02642706131078,108.76566889162602,3.0,1366.0,83.0
char_len,English,108.50105708245243,112.8025408685222,5.0,1206.0,84.0
word_len,Yakut,13.494714587737844,16.43555552034579,1.0,249.0,10.0
word_len,English,21.667019027484145,23.339684192258183,1.0,272.0,17.0
ratio,char,1.0228502566025863,0.3944138346791151,0.21507760532150777,3.5123152709359604,0.9795918367346939
ratio,word,1.6194261683744677,0.608787721859145,0.4117647058823529,4.027777777777778,1.5555555555555556
